,NODEID,x_coord,y_coord,FCH,CH
0,1,10,7,-1.0,0
1,2,37,73,-1.0,0
2,3,87,8,-1.0,0
3,4,8,96,0.9988576,1
4,5,8,57,-1.0,0
5,6,37,54,-1.0,0
6,7,100,51,0.8383011063782272,0
7,8,68,41,-1.0,0
8,9,12,58,-1.0,0
9,10,77,3,-1.0,0
10,11,89,100,0.8020709379216264,0
11,12,87,49,0.8801986983161102,0
12,13,34,12,-1.0,0
13,14,73,80,0.8775540633087218,0
14,15,63,23,-1.0,0
15,16,37,53,-1.0,0
16,17,69,68,0.9150445120492653,1
17,18,50,12,-1.0,0
18,19,27,78,-1.0,0
19,20,73,47,-1.0,0
20,21,96,38,0.8463577617290194,0
21,22,67,59,0.9374088239144324,1
22,23,90,96,0.8028442144494727,0
23,24,26,69,-1.0,0
24,25,18,16,-1.0,0
25,26,69,32,-1.0,0
26,27,35,25,-1.0,0
27,28,17,97,0.8146684388541422,0
28,29,99,45,0.8407766555511752,0
29,30,35,75,-1.0,0
30,31,88,51,0.8769650330349845,0
31,32,73,71,0.89901632,0
32,33,15,72,-1.0,0
33,34,50,14,-1.0,0
34,35,36,14,-1.0,0
35,36,5,52,-1.0,0
36,37,65,92,0.8556716937178307,0
37,38,23,35,-1.0,0
38,39,69,29,-1.0,0
39,40,57,5,-1.0,0
40,41,30,33,-1.0,0
41,42,31,36,-1.0,0
42,43,11,53,-1.0,0
43,44,35,23,-1.0,0
44,45,16,19,-1.0,0
45,46,55,25,-1.0,0
46,47,46,16,-1.0,0
47,48,13,72,-1.0,0
48,49,48,79,0.905798559379694,1
49,50,53,14,-1.0,0
50,51,69,68,0.9150445120492653,1
51,52,28,41,-1.0,0
52,53,78,57,0.9064132277340667,1
53,54,5,5,-1.0,0
54,55,92,82,0.8291725202575378,0
55,56,72,34,-1.0,0
56,57,75,33,-1.0,0
57,58,49,5,-1.0,0
58,59,33,68,-1.0,0
59,60,35,37,-1.0,0
60,61,26,69,-1.0,0
61,62,65,62,0.937486005323951,1
62,63,90,58,0.8679705842071402,0
63,64,28,48,-1.0,0
64,65,37,42,-1.0,0
65,66,42,7,-1.0,0
66,67,28,14,-1.0,0
67,68,80,58,0.8993648621009209,1
68,69,18,50,-1.0,0
69,70,36,30,-1.0,0
70,71,93,57,0.8590363979430183,0
71,72,74,17,-1.0,0
72,73,2,58,-1.0,0
73,74,100,71,0.8245921692409958,0
74,75,16,72,-1.0,0
75,76,91,27,0.8481613010679742,0
76,77,99,91,0.8035340904117767,0
77,78,19,42,-1.0,0
78,79,60,87,0.875902883123951,0
79,80,15,3,-1.0,0
80,81,62,47,-1.0,0
81,82,100,83,0.8062452633832865,0
82,83,51,16,-1.0,0
83,84,85,89,0.8304570428128965,0
84,85,15,16,-1.0,0
85,86,44,17,-1.0,0
86,87,77,97,0.8246619930842531,0
87,88,19,82,-1.0,0
88,89,83,8,-1.0,0
89,90,7,61,-1.0,0
90,91,85,91,0.8256016174715288,0
91,92,46,24,-1.0,0
92,93,18,40,-1.0,0
93,94,96,50,0.8512330772143748,0
94,95,84,77,0.8594467014432547,0
95,96,34,78,-1.0,0
96,97,50,3,-1.0,0
97,98,38,16,-1.0,0
98,99,31,64,-1.0,0
99,100,42,96,0.849063215269156,0
