DATE,TIME,EPOCH,NODEID,TEMPERATURE,HUMIDITY,LIGHT,VOLTAGE
2004-02-28,01:08:45.992524,22,1,19.1456,38.9401,45.08,2.68742
2004-02-28,01:08:45.992525,25,2,19.1456,38.8379,45.08,2.69964
2004-02-28,01:08:45.992526,58,3,19.0084,38.9401,43.24,2.69964
2004-02-28,01:08:45.992527,62,4,18.9986,38.9742,43.24,2.68742
2004-02-28,01:08:45.992528,21,5,19.567,39.6878,121.44,2.67532
2004-02-28,01:08:45.992529,25,6,19.5376,39.7557,121.44,2.67532
2004-02-28,01:08:45.992530,58,7,19.4788,39.6878,121.44,2.66332
2004-02-28,01:08:45.992531,61,8,19.4494,39.7217,121.44,2.67532
2004-02-28,01:08:45.992532,23060,9,21.2036,40.7706,50.6,2.61639
2004-02-28,01:08:45.992533,32667,10,19.6944,48.5139,1.84,2.3291
2004-02-28,01:08:45.992534,32700,11,19.5768,48.9675,1.84,2.32
2004-02-28,01:08:45.992535,32704,12,19.5376,49.0969,1.84,2.32
2004-02-28,01:08:45.992536,23060,13,21.38,41.1078,101.2,2.58226
2004-02-28,01:08:45.992537,23062,14,21.3702,41.1078,101.2,2.58226
2004-02-28,01:08:45.992538,23096,15,21.3212,41.1078,101.2,2.58226
2004-02-28,01:08:45.992539,23098,16,21.3114,41.1751,101.2,2.58226
2004-02-28,01:08:45.992540,26199,17,21.6838,40.568,114.08,2.57108
2004-02-28,01:08:45.992541,26200,18,21.6936,40.5004,114.08,2.57108
2004-02-28,01:08:45.992542,26201,19,21.6936,40.568,114.08,2.57108
2004-02-28,01:08:45.992543,26202,20,21.6936,40.568,114.08,2.57108
2004-02-28,01:08:45.992544,26203,21,21.6936,40.5342,114.08,2.57108
2004-02-28,01:08:45.992545,26204,22,21.6936,40.568,114.08,2.57108
2004-02-28,01:08:45.992546,26205,23,21.6936,40.5004,114.08,2.57108
2004-02-28,01:08:45.992547,26206,24,21.6838,40.5342,114.08,2.57108
2004-02-28,01:08:45.992548,45215,25,20.8214,48.8056,104.88,2.50599
2004-02-28,01:08:45.992549,45216,26,102.153,-3.83804,217.12,2.1997
2004-02-28,01:08:45.992550,45217,27,20.7332,49.7424,90.16,2.49546
2004-02-28,01:08:45.992551,45218,28,20.694,49.4199,90.16,2.50599
2004-02-28,01:08:45.992552,11288,29,19.5768,31.6664,1.38,2.65143
