DATE,TIME,EPOCH,NODEID,TEMPERATURE,HUMIDITY,LIGHT,VOLTAGE
2004-02-28,01:08:45.992524,22,1,19.1456,38.9401,45.08,2.68742
2004-02-28,01:10:16.6789,25,1,19.1456,38.8379,45.08,2.69964
2004-02-28,01:26:46.463293,58,1,19.0084,38.9401,43.24,2.69964
2004-02-28,01:28:46.483577,62,1,18.9986,38.9742,43.24,2.68742
2004-02-28,01:08:45.992524,21,2,19.567,39.6878,121.44,2.67532
2004-02-28,01:10:16.6789,25,2,19.5376,39.7557,121.44,2.67532
2004-02-28,01:26:46.463293,58,2,19.4788,39.6878,121.44,2.66332
2004-02-28,01:28:46.483577,61,2,19.4494,39.7217,121.44,2.67532
2004-02-28,01:08:45.992524,23060,3,21.2036,40.7706,50.6,2.61639
2004-02-28,01:10:16.6789,32667,3,19.6944,48.5139,1.84,2.3291
2004-02-28,01:26:46.463293,32700,3,19.5768,48.9675,1.84,2.32
2004-02-28,01:28:46.483577,32704,3,19.5376,49.0969,1.84,2.32
2004-02-28,01:08:45.992524,23060,4,21.38,41.1078,101.2,2.58226
2004-02-28,01:10:16.6789,23062,4,21.3702,41.1078,101.2,2.58226
2004-02-28,01:26:46.463293,23096,4,21.3212,41.1078,101.2,2.58226
2004-02-28,01:28:46.483577,23098,4,21.3114,41.1751,101.2,2.58226
2004-02-28,01:08:45.992524,26199,5,21.6838,40.568,114.08,2.57108
2004-02-28,01:10:16.6789,26200,5,21.6936,40.5004,114.08,2.57108
2004-02-28,01:26:46.463293,26201,5,21.6936,40.568,114.08,2.57108
2004-02-28,01:28:46.483577,26202,5,21.6936,40.568,114.08,2.57108
2004-02-28,01:08:45.992524,26203,6,21.6936,40.5342,114.08,2.57108
2004-02-28,01:10:16.6789,26204,6,21.6936,40.568,114.08,2.57108
2004-02-28,01:26:46.463293,26205,6,21.6936,40.5004,114.08,2.57108
2004-02-28,01:28:46.483577,26206,6,21.6838,40.5342,114.08,2.57108
2004-02-28,01:08:45.992524,45215,7,20.8214,48.8056,104.88,2.50599
2004-02-28,01:10:16.6789,45216,7,122.153,-3.83804,217.12,2.1997
2004-02-28,01:26:46.463293,45217,7,20.7332,49.7424,90.16,2.49546
2004-02-28,01:28:46.483577,45218,7,20.694,49.4199,90.16,2.50599
2004-02-28,01:08:45.992524,11288,8,19.5768,31.6664,1.38,2.65143
2004-02-28,01:10:16.6789,11289,8,19.5768,31.6664,1.38,2.65143
2004-02-28,01:26:46.463293,11290,8,19.5768,31.6312,1.38,2.66332
2004-02-28,01:28:46.483577,11291,8,19.567,31.6664,1.38,2.65143
2004-02-28,01:08:45.992524,4381,9,20.89,40.9055,1847.36,2.74963
2004-02-28,01:10:16.6789,4383,9,20.9096,40.8718,1847.36,2.76242
2004-02-28,01:26:46.463293,4385,9,20.9096,40.9055,1847.36,2.74963
2004-02-28,01:28:46.483577,4388,9,20.8998,40.9055,1847.36,2.76242
2004-02-28,01:08:45.992524,46382,10,122.153,-3.91901,11.04,2.18353
2004-02-28,01:10:16.6789,46383,10,20.4294,45.5391,5.06,2.47467
2004-02-28,01:26:46.463293,46384,10,122.153,-3.91901,11.04,2.18353
2004-02-28,01:28:46.483577,46385,10,122.153,-3.91901,11.04,2.18353
2004-02-28,01:08:45.992524,21849,11,24.0848,38.872,1729.6,2.63964
2004-02-28,01:10:16.6789,21850,11,24.1044,38.872,1729.6,2.62796
2004-02-28,01:26:46.463293,21851,11,24.1044,38.8379,1729.6,2.62796
2004-02-28,01:28:46.483577,21853,11,24.0946,38.872,1729.6,2.62796
2004-02-28,01:08:45.992524,55070,12,18.9398,45.4732,0.92,2.42416
2004-02-28,01:10:16.6789,55080,12,18.93,45.3743,0.92,2.41431
2004-02-28,01:26:46.463293,55081,12,18.9398,45.4732,0.92,2.42416
2004-02-28,01:28:46.483577,55082,12,18.9398,45.4402,0.92,2.41431
2004-02-28,01:08:45.992524,25673,13,21.0664,45.5391,1.84,2.59354
2004-02-28,01:10:16.6789,25674,13,21.0468,45.7037,1.84,2.59354
2004-02-28,01:26:46.463293,25675,13,21.037,46.0655,1.84,2.59354
2004-02-28,01:28:46.483577,25679,13,20.988,46.0655,1.84,2.59354
2004-02-28,01:08:45.992524,11563,14,19.3612,29.7205,93.84,2.66332
2004-02-28,01:10:16.6789,11564,14,19.3612,29.7916,93.84,2.66332
2004-02-28,01:26:46.463293,11565,14,19.3514,29.7561,93.84,2.66332
2004-02-28,01:28:46.483577,11566,14,19.3612,29.685,93.84,2.67532
2004-02-28,01:08:45.992524,38233,15,16.8426,53.6635,1847.36,2.42416
2004-02-28,01:10:16.6789,38234,15,16.8916,53.4742,1847.36,2.42416
2004-02-28,01:26:46.463293,38235,15,16.9112,53.5058,1847.36,2.4341
2004-02-28,01:28:46.483577,38236,15,17.1072,52.9368,1847.36,2.4341
2004-02-28,01:08:45.992524,38237,16,17.1464,52.7467,1847.36,2.4341
2004-02-28,01:10:16.6789,38238,16,17.1758,52.6833,1847.36,2.42416
2004-02-28,01:26:46.463293,38240,16,17.313,52.2388,1847.36,2.4341
2004-02-28,01:28:46.483577,38242,16,17.4502,51.8888,1847.36,2.4341
2004-02-28,01:08:45.992524,14307,17,20.0178,37.0933,0.46,2.53812
2004-02-28,01:10:16.6789,14309,17,20.0178,37.1277,0.46,2.52732
2004-02-28,01:26:46.463293,14310,17,20.008,37.1277,0.46,2.53812
2004-02-28,01:28:46.483577,14311,17,20.008,37.162,0.46,2.52732
2004-02-28,01:08:45.992524,16613,18,22.017,36.6118,64.4,2.45421
2004-02-28,01:10:16.6789,16614,18,22.0268,36.6118,64.4,2.45421
2004-02-28,01:26:46.463293,16616,18,22.0072,36.6807,64.4,2.45421
2004-02-28,01:28:46.483577,16617,18,22.0072,36.7839,64.4,2.45421
2004-02-28,01:08:45.992524,21245,19,24.124,35.6802,441.6,2.62796
2004-02-28,01:10:16.6789,21248,19,24.1534,35.6802,441.6,2.63964
2004-02-28,01:26:46.463293,21250,19,24.173,35.6456,441.6,2.63964
2004-02-28,01:28:46.483577,21256,19,24.2612,35.5418,426.88,2.63964
2004-02-28,01:08:45.992524,12919,20,25.055,28.1875,684.48,2.69964
2004-02-28,01:10:16.6789,12921,20,25.0354,28.3305,713.92,2.71196
2004-02-28,01:26:46.463293,12923,20,25.0452,28.259,713.92,2.71196
2004-02-28,01:28:46.483577,12924,20,25.0354,28.2948,713.92,2.71196
2004-02-28,01:08:45.992524,2966,21,36.521,16.6034,309.12,2.65143
2004-02-28,01:10:16.6789,2967,21,17.754,41.7133,3.68,2.66332
2004-02-28,01:26:46.463293,2968,21,17.7442,41.8476,3.68,2.66332
2004-02-28,01:28:46.483577,2969,21,17.7148,41.9147,3.68,2.65143
2004-02-28,01:08:45.992524,41116,22,23.8692,34.536,1494.08,2.52732
2004-02-28,01:10:16.6789,41117,22,122.153,35.3687,41.4,2.17553
2004-02-28,01:26:46.463293,41117,22,23.9378,34.4664,1494.08,2.52732
2004-02-28,01:28:46.483577,41118,22,23.9672,34.3621,1494.08,2.51661
2004-02-28,01:08:45.992524,2904,23,18.1656,40.8381,0.92,2.65143
2004-02-28,01:10:16.6789,2905,23,18.146,40.9392,0.92,2.66332
2004-02-28,01:26:46.463293,2906,23,18.1558,40.973,0.92,2.66332
2004-02-28,01:28:46.483577,2907,23,18.146,40.973,0.92,2.65143
2004-02-28,01:08:45.992524,30659,24,122.153,54.8891,441.6,2.31097
2004-02-28,01:10:16.6789,30660,24,25.9566,36.1293,426.88,2.63964
2004-02-28,01:26:46.463293,30660,24,122.153,54.8578,397.44,2.31097
2004-02-28,01:28:46.483577,30661,24,25.9468,36.1293,412.16,2.63964
2004-02-28,01:08:45.992524,24447,25,31.4152,26.716,1847.36,2.69964
2004-02-28,01:10:16.6789,24448,25,31.4446,26.752,1847.36,2.69964
2004-02-28,01:26:46.463293,24449,25,31.5132,26.608,1847.36,2.69964
